release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,hhs8,201352,201006,202,792,64601,131,305.0,260.0,,132.0,49.0,46.0,1.1134048428888,1.22598721382022
2013-12-31,hhs9,201352,201006,202,2246,85527,236,702.0,770.0,,368.0,242.0,164.0,3.85538204701637,2.62607129912191
2013-12-31,nat,201352,201006,202,15381,756068,1977,5496.0,5577.0,,2644.0,1006.0,658.0,2.09694583121344,2.03434082648651
2013-12-31,hhs1,201352,201007,201,366,33173,140,87.0,171.0,,61.0,35.0,12.0,0.989387167468909,1.10330690621891
2013-12-31,hhs10,201352,201007,201,287,12986,50,128.0,97.0,,35.0,13.0,14.0,1.77150429679824,2.21007238564608
2013-12-31,hhs2,201352,201007,201,2029,109869,187,914.0,577.0,,357.0,116.0,65.0,1.67379844462727,1.84674475966833
2013-12-31,hhs3,201352,201007,201,1470,95820,220,372.0,518.0,,395.0,139.0,46.0,1.42260755429594,1.53412648716343
2013-12-31,hhs4,201352,201007,201,3846,163523,442,1357.0,1707.0,,522.0,184.0,76.0,1.98266939057481,2.35196272084049
2013-12-31,hhs5,201352,201007,201,1407,90474,252,518.0,522.0,,225.0,91.0,51.0,1.29887925906644,1.55514291398634
2013-12-31,hhs6,201352,201007,201,2741,85233,180,929.0,894.0,,571.0,237.0,110.0,2.89691025781557,3.21589055882111
2013-12-31,hhs7,201352,201007,201,707,32830,124,197.0,305.0,,123.0,50.0,32.0,2.16435890841532,2.15351812366738
2013-12-31,hhs8,201352,201007,201,645,56396,114,229.0,228.0,,118.0,45.0,25.0,1.10285718069692,1.14369813461948
2013-12-31,hhs9,201352,201007,201,1567,81904,245,657.0,517.0,,242.0,84.0,67.0,2.52973520449986,1.91321547177183
2013-12-31,nat,201352,201007,201,15065,762208,1954,5388.0,5536.0,,2649.0,994.0,498.0,1.90294345645018,1.97649460514715
2013-12-31,hhs1,201352,201008,200,288,35489,137,74.0,146.0,,41.0,11.0,16.0,0.81910555302019,0.811519062244639
2013-12-31,hhs10,201352,201008,200,249,14401,48,116.0,90.0,,21.0,9.0,13.0,1.25850045932173,1.72904659398653
2013-12-31,hhs2,201352,201008,200,1713,103936,184,722.0,540.0,,299.0,111.0,41.0,1.53463683992483,1.6481296182266
2013-12-31,hhs3,201352,201008,200,1569,100398,220,358.0,573.0,,441.0,132.0,65.0,1.43716995692997,1.56278013506245
2013-12-31,hhs4,201352,201008,200,4307,179276,452,1358.0,1988.0,,655.0,207.0,99.0,2.02648157077747,2.40244092907026
2013-12-31,hhs5,201352,201008,200,1152,94205,257,399.0,421.0,,203.0,77.0,52.0,1.11028474095098,1.22286502839552
2013-12-31,hhs6,201352,201008,200,3035,89245,193,866.0,1093.0,,633.0,283.0,160.0,2.92040871201583,3.40075074233851
2013-12-31,hhs7,201352,201008,200,650,33953,127,197.0,257.0,,115.0,44.0,37.0,1.70587177041901,1.91441109769387
2013-12-31,hhs8,201352,201008,200,867,67038,131,323.0,281.0,,145.0,69.0,49.0,1.28187293580944,1.2932963393896
2013-12-31,hhs9,201352,201008,200,2257,88984,241,627.0,818.0,,390.0,275.0,147.0,3.44476776616941,2.536411040187
2013-12-31,nat,201352,201008,200,16087,806925,1990,5040.0,6207.0,,2943.0,1218.0,679.0,1.96951462278194,1.99361774638287
2013-12-31,hhs1,201352,201009,199,234,35276,138,64.0,110.0,,35.0,16.0,9.0,0.658078800681888,0.663340514797596
2013-12-31,hhs10,201352,201009,199,201,12627,45,84.0,79.0,,24.0,8.0,6.0,1.3078291567007,1.59182703730102
2013-12-31,hhs2,201352,201009,199,1424,106362,188,510.0,533.0,,251.0,89.0,41.0,1.24625585386876,1.33882401609597
2013-12-31,hhs3,201352,201009,199,1738,100879,213,382.0,668.0,,460.0,158.0,70.0,1.6394464505965,1.7228560949256
2013-12-31,hhs4,201352,201009,199,3558,160229,438,1084.0,1615.0,,582.0,174.0,103.0,1.87828162290376,2.2205718066018
2013-12-31,hhs5,201352,201009,199,1032,89821,245,361.0,358.0,,193.0,73.0,47.0,1.04203263904246,1.1489518041438
2013-12-31,hhs6,201352,201009,199,2629,84309,187,777.0,950.0,,567.0,215.0,120.0,2.8744292995966,3.11829104840527
2013-12-31,hhs7,201352,201009,199,764,32608,125,187.0,361.0,,123.0,58.0,35.0,2.25341541722215,2.34298331697743
2013-12-31,hhs8,201352,201009,199,769,69616,132,257.0,289.0,,119.0,58.0,46.0,1.11446692498954,1.10463111928292
2013-12-31,hhs9,201352,201009,199,2137,89684,242,575.0,722.0,,409.0,236.0,195.0,3.40978443649277,2.38281075777173
2013-12-31,nat,201352,201009,199,14486,781411,1953,4281.0,5685.0,,2763.0,1085.0,672.0,1.92331036712421,1.85382596354543
2013-12-31,hhs1,201352,201010,198,228,33885,138,68.0,113.0,,26.0,8.0,13.0,0.76008623760335,0.67286409915892
2013-12-31,hhs10,201352,201010,198,176,12334,44,69.0,67.0,,32.0,7.0,1.0,1.19629157994681,1.42694989460029
2013-12-31,hhs2,201352,201010,198,1489,107198,184,587.0,524.0,,253.0,87.0,38.0,1.35016226500073,1.38901845183679
2013-12-31,hhs3,201352,201010,198,1697,100190,210,425.0,597.0,,411.0,159.0,105.0,1.6436998179803,1.69378181455235
2013-12-31,hhs4,201352,201010,198,4068,156755,444,1376.0,1585.0,,724.0,245.0,138.0,2.15577428229636,2.59513253165768
2013-12-31,hhs5,201352,201010,198,896,90021,250,293.0,326.0,,170.0,67.0,40.0,0.901400667254109,0.995323313449084
2013-12-31,hhs6,201352,201010,198,2661,86135,188,910.0,921.0,,482.0,234.0,114.0,2.91635919746125,3.08933650664654
2013-12-31,hhs7,201352,201010,198,542,31457,121,154.0,237.0,,81.0,44.0,26.0,1.5908768286039,1.72298693454557
2013-12-31,hhs8,201352,201010,198,739,66878,133,254.0,241.0,,132.0,58.0,54.0,1.03303063802581,1.10499715900595
